2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:23 install base-passwd:i386 <none> 3.5.43
2017-12-09 19:40:23 status half-installed base-passwd:i386 3.5.43
2017-12-09 19:40:23 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:23 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:23 configure base-passwd:i386 3.5.43 3.5.43
2017-12-09 19:40:23 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:23 status half-configured base-passwd:i386 3.5.43
2017-12-09 19:40:23 status installed base-passwd:i386 3.5.43
2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:23 install base-files:i386 <none> 9.9+deb9u3
2017-12-09 19:40:23 status half-installed base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 configure base-files:i386 9.9+deb9u3 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status half-configured base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 status installed base-files:i386 9.9+deb9u3
2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:23 upgrade dpkg 1.18.24 1.18.24
2017-12-09 19:40:23 status half-configured dpkg 1.18.24
2017-12-09 19:40:23 status unpacked dpkg 1.18.24
2017-12-09 19:40:23 status half-installed dpkg 1.18.24
2017-12-09 19:40:23 status half-installed dpkg 1.18.24
2017-12-09 19:40:23 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:23 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:23 configure dpkg:i386 1.18.24 1.18.24
2017-12-09 19:40:23 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:23 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:23 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:23 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:23 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:23 status half-configured dpkg:i386 1.18.24
2017-12-09 19:40:23 status installed dpkg:i386 1.18.24
2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:23 install libc6:i386 <none> 2.24-11+deb9u1
2017-12-09 19:40:23 status half-installed libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:24 status unpacked libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:24 status unpacked libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:24 configure libc6:i386 2.24-11+deb9u1 2.24-11+deb9u1
2017-12-09 19:40:24 status unpacked libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:24 status unpacked libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:24 status half-configured libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:24 status installed libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:24 startup archives install
2017-12-09 19:40:24 install perl-base:i386 <none> 5.24.1-3+deb9u2
2017-12-09 19:40:24 status half-installed perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:24 status unpacked perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:24 status unpacked perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:24 configure perl-base:i386 5.24.1-3+deb9u2 5.24.1-3+deb9u2
2017-12-09 19:40:24 status unpacked perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:24 status half-configured perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:24 status installed perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:24 startup archives install
2017-12-09 19:40:24 install mawk:i386 <none> 1.3.3-17+b3
2017-12-09 19:40:24 status half-installed mawk:i386 1.3.3-17+b3
2017-12-09 19:40:25 status unpacked mawk:i386 1.3.3-17+b3
2017-12-09 19:40:25 status unpacked mawk:i386 1.3.3-17+b3
2017-12-09 19:40:25 configure mawk:i386 1.3.3-17+b3 1.3.3-17+b3
2017-12-09 19:40:25 status unpacked mawk:i386 1.3.3-17+b3
2017-12-09 19:40:25 status half-configured mawk:i386 1.3.3-17+b3
2017-12-09 19:40:25 status installed mawk:i386 1.3.3-17+b3
2017-12-09 19:40:25 startup archives unpack
2017-12-09 19:40:25 install libacl1:i386 <none> 2.2.52-3+b1
2017-12-09 19:40:25 status half-installed libacl1:i386 2.2.52-3+b1
2017-12-09 19:40:25 status unpacked libacl1:i386 2.2.52-3+b1
2017-12-09 19:40:25 status unpacked libacl1:i386 2.2.52-3+b1
2017-12-09 19:40:25 install libattr1:i386 <none> 1:2.4.47-2+b2
2017-12-09 19:40:25 status half-installed libattr1:i386 1:2.4.47-2+b2
2017-12-09 19:40:25 status unpacked libattr1:i386 1:2.4.47-2+b2
2017-12-09 19:40:25 status unpacked libattr1:i386 1:2.4.47-2+b2
2017-12-09 19:40:25 install libaudit-common:all <none> 1:2.6.7-2
2017-12-09 19:40:25 status half-installed libaudit-common:all 1:2.6.7-2
2017-12-09 19:40:25 status unpacked libaudit-common:all 1:2.6.7-2
2017-12-09 19:40:25 status unpacked libaudit-common:all 1:2.6.7-2
2017-12-09 19:40:25 install libaudit1:i386 <none> 1:2.6.7-2
2017-12-09 19:40:25 status half-installed libaudit1:i386 1:2.6.7-2
2017-12-09 19:40:25 status unpacked libaudit1:i386 1:2.6.7-2
2017-12-09 19:40:25 status unpacked libaudit1:i386 1:2.6.7-2
2017-12-09 19:40:25 upgrade base-files:i386 9.9+deb9u3 9.9+deb9u3
2017-12-09 19:40:25 status half-configured base-files:i386 9.9+deb9u3
2017-12-09 19:40:25 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:25 status half-installed base-files:i386 9.9+deb9u3
2017-12-09 19:40:25 status half-installed base-files:i386 9.9+deb9u3
2017-12-09 19:40:25 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:25 status unpacked base-files:i386 9.9+deb9u3
2017-12-09 19:40:25 upgrade base-passwd:i386 3.5.43 3.5.43
2017-12-09 19:40:25 status half-configured base-passwd:i386 3.5.43
2017-12-09 19:40:25 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:25 status half-installed base-passwd:i386 3.5.43
2017-12-09 19:40:25 status half-installed base-passwd:i386 3.5.43
2017-12-09 19:40:25 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:25 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:25 install bash:i386 <none> 4.4-5
2017-12-09 19:40:25 status half-installed bash:i386 4.4-5
2017-12-09 19:40:26 status unpacked bash:i386 4.4-5
2017-12-09 19:40:26 status unpacked bash:i386 4.4-5
2017-12-09 19:40:26 install libbz2-1.0:i386 <none> 1.0.6-8.1
2017-12-09 19:40:26 status half-installed libbz2-1.0:i386 1.0.6-8.1
2017-12-09 19:40:26 status unpacked libbz2-1.0:i386 1.0.6-8.1
2017-12-09 19:40:26 status unpacked libbz2-1.0:i386 1.0.6-8.1
2017-12-09 19:40:26 install libdebconfclient0:i386 <none> 0.227
2017-12-09 19:40:26 status half-installed libdebconfclient0:i386 0.227
2017-12-09 19:40:26 status unpacked libdebconfclient0:i386 0.227
2017-12-09 19:40:26 status unpacked libdebconfclient0:i386 0.227
2017-12-09 19:40:26 install coreutils:i386 <none> 8.26-3
2017-12-09 19:40:26 status half-installed coreutils:i386 8.26-3
2017-12-09 19:40:26 status unpacked coreutils:i386 8.26-3
2017-12-09 19:40:26 status unpacked coreutils:i386 8.26-3
2017-12-09 19:40:26 install dash:i386 <none> 0.5.8-2.4
2017-12-09 19:40:26 status half-installed dash:i386 0.5.8-2.4
2017-12-09 19:40:26 status unpacked dash:i386 0.5.8-2.4
2017-12-09 19:40:26 status unpacked dash:i386 0.5.8-2.4
2017-12-09 19:40:26 install libdb5.3:i386 <none> 5.3.28-12+deb9u1
2017-12-09 19:40:26 status half-installed libdb5.3:i386 5.3.28-12+deb9u1
2017-12-09 19:40:26 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2017-12-09 19:40:26 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2017-12-09 19:40:27 install debconf:all <none> 1.5.61
2017-12-09 19:40:27 status half-installed debconf:all 1.5.61
2017-12-09 19:40:27 status unpacked debconf:all 1.5.61
2017-12-09 19:40:27 status unpacked debconf:all 1.5.61
2017-12-09 19:40:27 install debianutils:i386 <none> 4.8.1.1
2017-12-09 19:40:27 status half-installed debianutils:i386 4.8.1.1
2017-12-09 19:40:27 status unpacked debianutils:i386 4.8.1.1
2017-12-09 19:40:27 status unpacked debianutils:i386 4.8.1.1
